reward,epsilon,termination,loss,force magnitude,force angle,average force vector,cyl_x_pos,cyl_y_pos,cyl_angle,gate_stats,obstacle_stats,intention_reward,intention_heading,run_time,robots_x_pos,robots_y_pos,robot_angle,robot_failures,env_observations,agent_actions
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,22.632192611694336,"[1.4312553, 0.9761902, 0.5451175, 1.4303916]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.9481072,0.24858302,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[0.0, 0.0, 0.0, 0.0]",0.07115940749645233,0.010193347930908203,"[-1.2048708, -0.95078, -0.69134355, -0.94552755]","[0.2512558, -0.00818064, 0.24591021, 0.49639714]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.2191405e+00, -5.9046874e+00,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -1.9557964e-12,  1.9639031e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.9507972e+00, -8.9163330e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -1.8531244e-12,  1.9639031e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.7091269e+00,  1.7232394e+02,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -1.5730753e-12,  1.9639031e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.0078564e+00,  7.6282898e+01,  2.0000000e+01,  2.0000000e+01,
        2.4782756e-01, -7.0585573e-13,  1.9639031e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-1.8840412, -1.8840412, -1.8840412, -1.8840412]",0.01,False,25.521570205688477,"[1.4243538, 0.9746231, 0.5514192, 1.4225129]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.9481131,0.2480156,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.024884271933933166, -0.02727798465579001, -0.029561148564109962, -0.030071695343935056]",0.08030156046152115,0.02056145668029785,"[-1.1978712, -0.95070714, -0.69834316, -0.9456376]","[0.25118294, -0.0011810192, 0.24598308, 0.48583025]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.2121778 , -5.9233384 ,  7.        ,  7.        ,  0.24977821,
       -0.13016608,  1.9638371 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9507076e+00, -8.9368912e+01,  7.0000000e+00,  7.0000000e+00,
        2.4921010e-01, -1.9280413e-12,  1.9638371e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([1.7160645e+00, 1.7235516e+02, 7.0000000e+00, 7.0000000e+00,
       2.4977821e-01, 1.3016608e-01, 1.9638371e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32), array([ 2.0053768e+00,  7.6576210e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -7.7377454e-13,  1.9638371e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0. , 0. ])]"
"[-1.884615, -1.884615, -1.884615, -1.884615]",0.01,False,31.210886001586914,"[1.4174534, 0.9731038, 0.5577376, 1.4216636]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.948125,0.24687368,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.03165287735964828, -0.03170176244136513, -0.03179915205484063, -0.03188936417168198]",0.08117063343524933,0.031010150909423828,"[-1.1908716, -0.9506343, -0.70534277, -0.94564945]","[0.25111008, 0.0058186017, 0.24605593, 0.48468834]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.2052155 , -5.9421077 ,  7.        ,  7.        ,  0.24278358,
       -0.40342155,  1.9637051 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9506429e+00, -8.9574509e+01,  7.0000000e+00,  7.0000000e+00,
        2.4106812e-01, -2.0116105e-12,  1.9637051e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7230024 , 172.38612   ,   7.        ,   7.        ,
         0.24278358,   0.40342155,   1.9637051 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0051122e+00,  7.6607956e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -7.7387901e-13,  1.9637051e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0. , 0. ])]"
"[-1.8851936, -1.8851936, -1.8851936, -1.8851936]",0.01,False,38.99738693237305,"[1.4105538, 0.9716326, 0.5640721, 1.4208077]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.948137,0.24572232,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.03233798212023076, -0.03236446253125591, -0.03239193451917022, -0.032406827353522516]",0.08125904947519302,0.041352033615112305,"[-1.183872, -0.9505614, -0.71234244, -0.9456614]","[0.2510372, 0.012818222, 0.2461288, 0.483537]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.1982532 , -5.960995  ,  7.        ,  7.        ,  0.23579492,
       -0.69517434,  1.9635725 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9506035e+00, -8.9780113e+01,  7.0000000e+00,  7.0000000e+00,
        2.3291671e-01, -2.0895857e-12,  1.9635725e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.729941  , 172.41684   ,   7.        ,   7.        ,
         0.23579492,   0.69517434,   1.9635725 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0048456e+00,  7.6639961e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -7.7377454e-13,  1.9635725e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0. , 0. ])]"
"[-1.885777, -1.885777, -1.885777, -1.885777]",0.01,False,11.836322784423828,"[1.4036553, 0.97020966, 0.5704221, 1.4199451]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.9481491,0.24456154,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.03240808630691583, -0.03240895517610165, -0.03241053335555433, -0.03241244850047609]",0.08126741647720337,0.05101799964904785,"[-1.1768724, -0.95048857, -0.71934205, -0.9456735]","[0.25096437, 0.019817842, 0.24620166, 0.4823762]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.191291 , -5.9800034,  7.       ,  7.       ,  0.2288129,
       -1.007103 ,  1.9634396,  0.       ,  0.       ,  0.       ,
        0.       ,  0.       ,  0.       ,  0.       ,  0.       ],
      dtype=float32), array([ 1.9505892e+00, -8.9985725e+01,  7.0000000e+00,  7.0000000e+00,
        2.2475587e-01, -2.1895593e-12,  1.9634396e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7368801, 172.44731  ,   7.       ,   7.       ,   0.2288129,
         1.007103 ,   1.9634396,   0.       ,   0.       ,   0.       ,
         0.       ,   0.       ,   0.       ,   0.       ,   0.       ],
      dtype=float32), array([ 2.0045779e+00,  7.6672249e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -7.7377454e-13,  1.9634396e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0. , 0. ])]"
"[-1.883468, -1.883468, -1.883468, -1.883468]",0.01,False,19.981365203857422,"[1.3967577, 0.96883523, 0.5767872, 1.0615181]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.9481519,0.2442072,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.03241472428515735, -0.03241498437983836, -0.03241503166989068, -0.03241535678991847]",0.08126800507307053,0.060944318771362305,"[-1.1698728, -0.9504157, -0.72634166, -0.9456764]","[0.2508915, 0.026817463, 0.24627453, 0.48219997]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.1843293 , -5.999132  ,  7.        ,  7.        ,  0.22182162,
       -1.1303906 ,  1.9633983 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9506000e+00, -9.0191345e+01,  7.0000000e+00,  7.0000000e+00,
        2.1740152e-01, -2.3382153e-04,  1.9633983e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7438196 , 172.47754   ,   7.        ,   7.        ,
         0.22181985,   1.1303997 ,   1.9633983 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([2.0045383e+00, 7.6677155e+01, 0.0000000e+00, 0.0000000e+00,
       2.3800565e-01, 4.6086762e-04, 1.9633983e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0. , 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,36.090232849121094,"[1.3898612, 0.96750945, 0.5831668, 1.0627848]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.9481519,0.24420579,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.032415191274067556, -0.032415191274067556, -0.03241523856426831, -0.032415309499633005]",0.08126815408468246,0.07076406478881836,"[-1.1628731, -0.95034283, -0.7333413, -0.9456773]","[0.25081864, 0.033817086, 0.24634738, 0.48212853]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.1773677 , -6.0183835 ,  7.        ,  7.        ,  0.21482307,
       -1.1675985 ,  1.9633981 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9506360e+00, -9.0396950e+01,  7.0000000e+00,  7.0000000e+00,
        2.1040010e-01, -2.4430922e-04,  1.9633981e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7507596 , 172.50754   ,   7.        ,   7.        ,
         0.21482126,   1.1676083 ,   1.9633981 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([2.0045218e+00, 7.6679146e+01, 1.0000000e-01, 1.0000000e-01,
       2.3793562e-01, 4.9526832e-04, 1.9633981e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,7.127872467041016,"[1.3829658, 0.9672449, 0.5895605, 1.0641042]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.9481513,0.24423727,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.032415309499633005, -0.03241533314477152, -0.03241533314477152, -0.03241533314477152]",0.08126818388700485,0.08166694641113281,"[-1.1558735, -0.9503289, -0.7403409, -0.94567734]","[0.25074577, 0.035250623, 0.24642025, 0.48216]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.1704063 , -6.0377584 ,  7.        ,  7.        ,  0.20782414,
       -1.1982397 ,  1.9634014 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9506475e+00, -9.0439056e+01,  7.0000000e+00,  7.0000000e+00,
        2.0899799e-01, -5.7926663e-04,  1.9634014e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7577    , 172.5373    ,   7.        ,   7.        ,
         0.20782188,   1.1982527 ,   1.9634014 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([2.0045295e+00, 7.6678268e+01, 2.0000000e-01, 2.0000000e-01,
       2.3793559e-01, 6.4842834e-04, 1.9634014e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,33.52018737792969,"[1.3760713, 0.9672449, 0.5959678, 1.0654154]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.9481513,0.24423727,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.03241533314477152, -0.0324152622093814, -0.03241540408023791, -0.03241538043507397]",0.08126818388700485,0.09280109405517578,"[-1.1488739, -0.9503289, -0.7473405, -0.9456773]","[0.2506729, 0.035250623, 0.24649312, 0.48216]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.1634455 , -6.0572577 ,  7.        ,  7.        ,  0.20082574,
       -1.2400025 ,  1.9634014 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9506475e+00, -9.0439056e+01,  7.0000000e+00,  7.0000000e+00,
        2.0899799e-01, -5.7926669e-04,  1.9634014e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7646409 , 172.5668    ,   7.        ,   7.        ,
         0.20082346,   1.2400166 ,   1.9634014 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([2.0045295e+00, 7.6678268e+01, 3.0000001e-01, 3.0000001e-01,
       2.3793559e-01, 6.3831283e-04, 1.9634014e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,16.279748916625977,"[1.369178, 0.95098245, 0.6023884, 1.0667329]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0.0]",-0.9481513,0.24423727,-0.5964032,0,"[0.075746745, -0.33076102, 0.06916001, -0.7128788]","[-0.03241533314477152, -0.03241533314477152, -0.03241528585450293, -0.03241547501578079]",0.08126821368932724,0.10804152488708496,"[-1.1418743, -0.9503289, -0.7543401, -0.9456773]","[0.25060004, 0.035250623, 0.24656598, 0.48216]","[-0.5964032, 89.403595, 179.4036, -90.596405]","[0, 0, 0, 0]","[array([ 2.1564846 , -6.0768833 ,  7.        ,  7.        ,  0.19382742,
       -1.2847812 ,  1.9634014 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9506475e+00, -9.0439056e+01,  0.0000000e+00,  0.0000000e+00,
        2.0899799e-01, -5.7926669e-04,  1.9634014e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7715824 , 172.5961    ,   7.        ,   7.        ,
         0.19382516,   1.2847964 ,   1.9634014 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([2.0045295e+00, 7.6678268e+01, 4.0000001e-01, 4.0000001e-01,
       2.3793559e-01, 6.3822063e-04, 1.9634014e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([0.1, 0.1, 0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0.1, 0. ])]"
