comm_scheme, num_robots, proportion_failures, status
left,10,0,not_started
left,6,0.25,not_started
neighbors,10,0.25,not_started
neighbors,8,0,not_started
right,12,0,not_started
right,10,0,not_started
None,4,0.5,not_started
right,4,0.5,not_started
right,6,0,not_started
comm_scheme,num_robots,proportion_failures,status
None,8,0,not_started
neighbors,6,0,not_started
right,6,0.25,not_started
left,4,0,not_started
neighbors,6,0.25,not_started
right,8,0.25,not_started
left,6,0,not_started
left,4,0.75,not_started
None,6,0,not_started
right,4,0.25,not_started
None,6,0.5,not_started
left,12,0.5,not_started
None,6,0.75,not_started
neighbors,6,0.5,not_started
left,12,0,not_started
left,8,0.25,not_started
right,10,0.25,not_started
left,10,0.75,not_started
neighbors,12,0,not_started
neighbors,8,0.25,not_started
right,12,0.25,not_started
neighbors,8,0.5,not_started
right,12,0.5,not_started
neighbors,4,0,not_started
neighbors,4,0.25,not_started
left,10,0.5,not_started
left,12,0.75,not_started
None,12,0,not_started
right,10,0.5,not_started
neighbors,4,0.5,not_started
None,12,0.25,not_started
neighbors,12,0.75,not_started
None,4,0.75,not_started
None,4,0,not_started
left,8,0.75,not_started
right,8,0,not_started
None,12,0.5,not_started
None,8,0.75,not_started
neighbors,6,0.75,not_started
neighbors,8,0.75,not_started
right,12,0.75,not_started
neighbors,10,0.5,not_started
left,6,0.75,not_started
None,10,0,not_started
None,10,0.25,not_started
left,12,0.25,not_started
right,4,0.75,not_started
left,4,0.5,not_started
neighbors,4,0.75,not_started
left,8,0.5,not_started
left,4,0.25,not_started
neighbors,12,0.25,not_started
None,10,0.5,not_started
right,10,0.75,not_started
left,10,0.25,not_started
None,8,0.25,not_started
None,4,0.25,not_started
right,8,0.75,not_started
None,12,0.75,not_started
neighbors,10,0,not_started
neighbors,10,0.75,not_started
right,4,0,not_started
None,6,0.25,not_started
right,6,0.75,not_started
None,8,0.5,not_started
right,8,0.5,not_started
None,10,0.75,not_started
neighbors,12,0.5,not_started
left,8,0,not_started
left,6,0.5,not_started
right,6,0.5,not_started
